,embed_dim,num_heads,ff_dim,num_layers,batch_size,test_partition
320,64.0,8.0,32.0,4.0,32.0,0.0
321,64.0,8.0,32.0,4.0,32.0,1.0
322,64.0,8.0,32.0,4.0,32.0,2.0
323,64.0,8.0,32.0,4.0,32.0,3.0
324,64.0,8.0,32.0,4.0,32.0,4.0
325,64.0,8.0,32.0,4.0,64.0,0.0
326,64.0,8.0,32.0,4.0,64.0,1.0
327,64.0,8.0,32.0,4.0,64.0,2.0
328,64.0,8.0,32.0,4.0,64.0,3.0
329,64.0,8.0,32.0,4.0,64.0,4.0
330,64.0,8.0,64.0,1.0,32.0,0.0
331,64.0,8.0,64.0,1.0,32.0,1.0
332,64.0,8.0,64.0,1.0,32.0,2.0
333,64.0,8.0,64.0,1.0,32.0,3.0
334,64.0,8.0,64.0,1.0,32.0,4.0
335,64.0,8.0,64.0,1.0,64.0,0.0
336,64.0,8.0,64.0,1.0,64.0,1.0
337,64.0,8.0,64.0,1.0,64.0,2.0
338,64.0,8.0,64.0,1.0,64.0,3.0
339,64.0,8.0,64.0,1.0,64.0,4.0
340,64.0,8.0,64.0,2.0,32.0,0.0
341,64.0,8.0,64.0,2.0,32.0,1.0
342,64.0,8.0,64.0,2.0,32.0,2.0
343,64.0,8.0,64.0,2.0,32.0,3.0
344,64.0,8.0,64.0,2.0,32.0,4.0
345,64.0,8.0,64.0,2.0,64.0,0.0
346,64.0,8.0,64.0,2.0,64.0,1.0
347,64.0,8.0,64.0,2.0,64.0,2.0
348,64.0,8.0,64.0,2.0,64.0,3.0
349,64.0,8.0,64.0,2.0,64.0,4.0
350,64.0,8.0,64.0,4.0,32.0,0.0
351,64.0,8.0,64.0,4.0,32.0,1.0
352,64.0,8.0,64.0,4.0,32.0,2.0
353,64.0,8.0,64.0,4.0,32.0,3.0
354,64.0,8.0,64.0,4.0,32.0,4.0
355,64.0,8.0,64.0,4.0,64.0,0.0
356,64.0,8.0,64.0,4.0,64.0,1.0
357,64.0,8.0,64.0,4.0,64.0,2.0
358,64.0,8.0,64.0,4.0,64.0,3.0
359,64.0,8.0,64.0,4.0,64.0,4.0
